Name,FIPS,"# Computers In Household | Households, 2021 [Estimated]"
"Concordia Parish, LA",22029,6762
"Conecuh County, AL",1035,4117
"Conejos County, CO",8021,3272
"Contra Costa County, CA",6013,396367
"Converse County, WY",56009,5233
"Conway County, AR",5029,8323
"Cook County, GA",13075,6274
"Cook County, IL",17031,1969201
"Cook County, MN",27031,2725
"Cooke County, TX",48097,15618
"Cooper County, MO",29053,6327
"Coos County, NH",33007,13458
"Coos County, OR",41011,27124
"Coosa County, AL",1037,3819
"Copiah County, MS",28029,9198
"Corozal Municipio, PR",72047,10345
"Corson County, SD",46031,1169
"Cortland County, NY",36023,17541
"Coryell County, TX",48099,22432
"Coshocton County, OH",39031,14474
"Costilla County, CO",8023,1895
"Cottle County, TX",48101,733
"Cotton County, OK",40033,2041
"Cottonwood County, MN",27033,4860
"Covington County, AL",1039,14837
"Covington County, MS",28031,6591
"Covington city, VA",51580,2286
"Coweta County, GA",13077,53530
"Cowley County, KS",20035,13373
"Cowlitz County, WA",53015,42650
"Craig County, OK",40035,5432
"Craig County, VA",51045,2325
"Craighead County, AR",5031,42641
"Crane County, TX",48103,1334
"Craven County, NC",37049,41404
"Crawford County, AR",5033,24029
"Crawford County, GA",13079,4579
"Crawford County, IA",19047,6470
"Crawford County, IL",17033,7669
"Crawford County, IN",18025,3706
"Crawford County, KS",20037,15236
"Crawford County, MI",26039,6186
"Crawford County, MO",29055,9615
"Crawford County, OH",39033,17658
"Crawford County, PA",42039,35307
"Crawford County, WI",55023,6606
"Creek County, OK",40037,26676
"Crenshaw County, AL",1041,4711
"Crisp County, GA",13081,8200
"Crittenden County, AR",5035,19050
"Crittenden County, KY",21055,3496
"Crockett County, TN",47033,5406
"Crockett County, TX",48105,1322
"Crook County, OR",41013,9706
"Crook County, WY",56011,2904
"Crosby County, TX",48107,1962
"Cross County, AR",5037,6500
"Crow Wing County, MN",27035,26959
"Crowley County, CO",8025,1322
"Culberson County, TX",48109,508
"Culebra Municipio, PR",72049,458
"Cullman County, AL",1043,30580
"Culpeper County, VA",51047,17240
"Cumberland County, IL",17035,4317
"Cumberland County, KY",21057,2616
"Cumberland County, ME",23005,121551
"Cumberland County, NC",37051,126687
"Cumberland County, NJ",34011,50493
"Cumberland County, PA",42041,101107
"Cumberland County, TN",47035,26538
"Cumberland County, VA",51049,3912
"Cuming County, NE",31039,3752
"Currituck County, NC",37053,10972
"Curry County, NM",35009,18684
"Curry County, OR",41015,10526
"Custer County, CO",8027,2293
"Custer County, ID",16037,1778
"Custer County, MT",30017,4876
"Custer County, NE",31041,4921
"Custer County, OK",40039,10666
"Custer County, SD",46033,3993
"Cuyahoga County, OH",39035,540062
"Dade County, GA",13083,6151
"Dade County, MO",29057,3019
"Daggett County, UT",49009,82
"Dakota County, MN",27037,162853
"Dakota County, NE",31043,7498
"Dale County, AL",1045,18466
"Dallam County, TX",48111,2464
"Dallas County, AL",1047,15855
"Dallas County, AR",5039,2821
"Dallas County, IA",19049,37757
"Dallas County, MO",29059,6159
"Dallas County, TX",48113,945248
"Dane County, WI",55025,227099
"Daniels County, MT",30019,846
"Danville city, VA",51590,18192
"Dare County, NC",37055,15914
"Darke County, OH",39037,20672
"Darlington County, SC",45031,26522
"Dauphin County, PA",42043,112890
"Davidson County, NC",37057,67018
"Davidson County, TN",47037,289332
"Davie County, NC",37059,16488
"Daviess County, IN",18027,11178
"Daviess County, KY",21059,40596
"Daviess County, MO",29061,3006
"Davis County, IA",19051,3208
"Davis County, UT",49011,107298
"Davison County, SD",46035,8733
"Dawes County, NE",31045,3505
"Dawson County, GA",13085,9343
"Dawson County, MT",30021,3935
"Dawson County, NE",31047,9062
"Dawson County, TX",48115,4335
"Day County, SD",46037,2612
"De Baca County, NM",35011,803
"De Soto Parish, LA",22031,10994
"De Witt County, IL",17039,6578
"DeKalb County, AL",1049,26702
"DeKalb County, GA",13089,285785
"DeKalb County, IL",17037,38119
"DeKalb County, IN",18033,17039
"DeKalb County, MO",29063,3837
"DeKalb County, TN",47041,8029
"DeSoto County, FL",12027,12555
"DeSoto County, MS",28033,63946
"DeWitt County, TX",48123,7087
"Deaf Smith County, TX",48117,6074
"Dearborn County, IN",18029,18719
"Decatur County, GA",13087,9722
"Decatur County, IA",19053,3239
"Decatur County, IN",18031,10435
"Decatur County, KS",20039,1452
"Decatur County, TN",47039,4208
"Deer Lodge County, MT",30023,3892
"Defiance County, OH",39039,15072
"Del Norte County, CA",6015,10141
"Delaware County, IA",19055,6882
"Delaware County, IN",18035,45999
"Delaware County, NY",36025,18859
"Delaware County, OH",39041,71646
"Delaware County, OK",40041,16747
"Delaware County, PA",42045,207433
"Delta County, CO",8029,11719
"Delta County, MI",26041,16301
"Delta County, TX",48119,2063
"Denali Borough, AK",2068,581
"Dent County, MO",29065,6584
"Denton County, TX",48121,305476
"Denver County, CO",8031,311677
"Des Moines County, IA",19057,16787
"Deschutes County, OR",41017,77876
"Desha County, AR",5041,5097
"Deuel County, NE",31049,827
"Deuel County, SD",46039,1738
"Dewey County, OK",40043,1581
"Dewey County, SD",46041,1664
"Dickens County, TX",48125,814
"Dickenson County, VA",51051,5561
"Dickey County, ND",38021,2138
"Dickinson County, IA",19059,8332
"Dickinson County, KS",20041,7861
"Dickinson County, MI",26043,11238
"Dickson County, TN",47043,19326
"Dillingham Census Area, AK",2070,1473
"Dillon County, SC",45033,10635
"Dimmit County, TX",48127,2935
"Dinwiddie County, VA",51053,10510
"District of Columbia, DC",11001,287472
"Divide County, ND",38023,1082
"Dixie County, FL",12029,6713
"Dixon County, NE",31051,2356
"Doddridge County, WV",54017,2673
"Dodge County, GA",13091,7371
"Dodge County, MN",27039,7839
"Dodge County, NE",31053,15306
"Dodge County, WI",55027,35437
"Dolores County, CO",8033,776
"Doniphan County, KS",20043,2985
"Donley County, TX",48129,1309
"Dooly County, GA",13093,4935
"Door County, WI",55029,13342
"Dorado Municipio, PR",72051,11320
"Dorchester County, MD",24019,13017
"Dorchester County, SC",45035,56902
"Dougherty County, GA",13095,33466
"Douglas County, CO",8035,123779
"Douglas County, GA",13097,50032
"Douglas County, IL",17041,7574
"Douglas County, KS",20045,48256
"Douglas County, MN",27041,17224
"Douglas County, MO",29067,5054
"Douglas County, NE",31055,221300
"Douglas County, NV",32005,21090
"Douglas County, OR",41019,45950
"Douglas County, SD",46043,1189
"Douglas County, WA",53017,15687
"Douglas County, WI",55031,19089
"Doña Ana County, NM",35013,79309
"Drew County, AR",5043,6930
"DuPage County, IL",17043,342675
"Dubois County, IN",18037,16956
"Dubuque County, IA",19061,38297
"Duchesne County, UT",49013,6900
"Dukes County, MA",25007,6972
"Dundy County, NE",31057,862
"Dunklin County, MO",29069,12142
"Dunn County, ND",38025,1757
"Dunn County, WI",55033,17011
